Título,Descripción,Calificación de riesgo
Algunos almacenamientos de datos críticos no están cifrados con claves administradas por el cliente,"De forma predeterminada, los datos de la cuenta de almacenamiento se cifran mediante claves administradas de Microsoft en reposo. Todos los recursos de Azure Storage están cifrados, incluidos blobs, discos, archivos, colas y tablas. También se cifran todos los metadatos de los objetos. Sin embargo, si desea controlar y administrar esta clave de cifrado usted mismo, puede especificar una clave administrada por el cliente. Esa clave se usa para proteger y controlar el acceso a la clave que cifra sus datos. También puede optar por actualizar automáticamente la versión de la clave utilizada para el cifrado de Azure Storage siempre que haya una nueva versión disponible en el almacén de claves asociado.",Bajo
Varias suscripciones a Defender no son compatibles,"Habilitar Microsoft Defender permite una mayor defensa en profundidad, con detección de amenazas proporcionada por el Centro de respuesta de seguridad de Microsoft (MSRC).",Bajo
No existe alerta de registro de actividad para las reglas de creación o actualización de direcciones IP públicas,El monitoreo de eventos de creación o actualización de direcciones IP públicas brinda información sobre los cambios en el acceso a la red y puede reducir el tiempo que lleva detectar actividad sospechosa.,Bajo
No existe alerta de registro de actividad para la creación de una asignación de política,"La supervisión de los eventos de creación de asignaciones de políticas brinda información sobre los cambios realizados en ""Asignaciones de políticas de Azure"" y puede reducir el tiempo que lleva detectar cambios no solicitados.",Bajo
La 'Configuración de diagnóstico' no existe para algunos registros de actividad de suscripción,"Una configuración de diagnóstico controla cómo se exporta un registro de diagnóstico. De forma predeterminada, los registros se conservan solo durante 90 días. Las configuraciones de diagnóstico se deben definir de modo que los registros se puedan exportar y almacenar durante un período más prolongado para analizar las actividades de seguridad dentro de una suscripción de Azure.",Bajo
La alerta de registro de actividad no existe para las reglas de eliminación de direcciones IP públicas,El monitoreo de eventos de eliminación de direcciones IP públicas brinda información sobre los cambios en el acceso a la red y puede reducir el tiempo que lleva detectar actividad sospechosa.,Bajo
No existe alerta de registro de actividad para eliminar reglas de firewall de SQL Server,La supervisión de eventos de eliminación de reglas de firewall de SQL Server brinda información sobre los cambios en el acceso a la red de SQL y puede reducir el tiempo necesario para detectar actividad sospechosa.,Bajo
La alerta de registro de actividad no existe para eliminar soluciones de seguridad,La supervisión de eventos de creación o actualización de soluciones de seguridad proporciona información sobre los cambios en las soluciones de seguridad activas y puede reducir el tiempo necesario para detectar actividad sospechosa.,Bajo
No existe alerta de registro de actividad para eliminar grupos de seguridad de red,La supervisión de eventos de creación o actualización de grupos de seguridad de red proporciona información sobre los cambios en el acceso a la red y puede reducir el tiempo necesario para detectar actividad sospechosa.,Bajo
No existe alerta de registro de actividad para crear o actualizar soluciones de seguridad,La supervisión de eventos de creación o actualización de soluciones de seguridad proporciona información sobre los cambios en las soluciones de seguridad activas y puede reducir el tiempo necesario para detectar actividad sospechosa.,Bajo
'Permitir que los servicios de Azure en la lista de servicios de confianza accedan a esta cuenta de almacenamiento' no está habilitado para algunos accesos a cuentas de almacenamiento,"Al activar las reglas de firewall para la cuenta de almacenamiento, se bloqueará el acceso a las solicitudes entrantes de datos, incluso de otros servicios de Azure. Podemos volver a habilitar esta funcionalidad habilitando ""Servicios de Azure de confianza"" a través de una excepción de red.",Bajo
Configuración: 'Auditoría' en servidores SQL de Azure no está establecida en 'Activada',La plataforma Azure permite crear un servidor SQL como servicio. Al habilitar la auditoría a nivel de servidor se garantiza que se auditen todas las bases de datos existentes y las nuevas creadas en la instancia del servidor SQL. La política de auditoría aplicada a la base de datos SQL no anula la política de auditoría ni la configuración aplicadas en el servidor SQL en particular donde se aloja la base de datos.,Bajo
Algunas reglas de acceso a la red predeterminadas para cuentas de almacenamiento no están configuradas para denegar,"Las cuentas de almacenamiento deben configurarse para denegar el acceso al tráfico de todas las redes (incluido el tráfico de Internet). Se puede conceder acceso al tráfico de redes virtuales de Azure específicas, lo que permite crear un límite de red seguro para aplicaciones específicas. También se puede conceder acceso a rangos de direcciones IP de Internet públicas para habilitar conexiones desde clientes locales o de Internet específicos. Cuando se configuran reglas de red, solo las aplicaciones de redes permitidas pueden acceder a una cuenta de almacenamiento. Al llamar desde una red permitida, las aplicaciones siguen necesitando la autorización adecuada (una clave de acceso válida o un token SAS) para acceder a la cuenta de almacenamiento.",Bajo
Algunas cuentas de almacenamiento de Azure tienen su opción 'Permitir acceso anónimo a blobs' configurada como Habilitada,"Si se habilita la opción ""Permitir acceso anónimo a blobs"", se puede acceder a los blobs agregando el nombre del blob a la URL para ver el contenido. Un atacante puede enumerar un blob mediante métodos, como la fuerza bruta, y acceder a ellos. La exfiltración de datos mediante la enumeración por fuerza bruta de elementos de una cuenta de almacenamiento puede ocurrir si esta configuración se establece en ""Habilitada"".",Bajo
Configuración Algunas claves de acceso a la cuenta de almacenamiento no se regeneran periódicamente,"Cuando se crea una cuenta de almacenamiento, Azure genera dos claves de acceso de almacenamiento de 512 bits que se utilizan para la autenticación cuando se accede a la cuenta de almacenamiento. La rotación periódica de estas claves garantiza que no se produzcan accesos o exposiciones involuntarias a causa de la vulneración de estas claves.",Bajo
No existe una alerta de registro de actividad para crear y actualizar reglas de firewall de SQL Server,La supervisión de eventos de creación o actualización de reglas de firewall de SQL Server proporciona información sobre los cambios en el acceso a la red y puede reducir el tiempo necesario para detectar actividad sospechosa.,Bajo
La eliminación temporal no está habilitada para algunos contenedores de Azure y Blob Storage,"Los contenedores y los datos de Blob Storage se pueden eliminar de forma incorrecta. Un atacante o usuario malintencionado puede hacerlo deliberadamente para provocar interrupciones. La eliminación de un blob de Azure Storage provoca una pérdida inmediata de datos. Al habilitar esta configuración para Azure Storage, se garantiza que, incluso si se eliminaron blobs o datos de la cuenta de almacenamiento, los objetos de blobs o datos se podrán recuperar durante un período determinado que se establece en las ""Políticas de retención"", que varía entre 7 y 365 días.",Bajo
¡Asegúrese de que el uso compartido externo esté restringido por el grupo de seguridad!,Las organizaciones que deseen crear controles de seguridad más estrictos para el uso compartido externo pueden configurar esto para aplicar el control de acceso basado en roles mediante el uso de grupos de seguridad ya definidos en Microsoft Entra.,Informativo
¡Usuarios invitados encontrados en su inquilino!,Se recomienda revisar a sus usuarios invitados para determinar si aún necesitan acceso dentro de su inquilino o si puede eliminarlos de manera segura.,Informativo
¡Se encontraron grupos públicos de Microsoft 365!,"Asegúrese de que solo existan grupos públicos administrados y aprobados por la organización. Cuando un grupo tiene una privacidad ""pública"", los usuarios pueden acceder a los datos relacionados con este grupo.",Informativo
