Configuración,Valor Predeterminado,Enlace
Permitir solo que los dominios aprobados usen controles ActiveX sin preguntar,Habilitar,Sin enlace
Permitir que solo los dominios aprobados usen el control ActiveX de TDC,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowonlyapproveddomainstousetdcactivexcontrol
Permitir solo que los dominios aprobados usen el control ActiveX de TDC,Habilitar,Sin enlace
Permitir ventanas iniciadas por script sin restricciones de tamaño o posición,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowscriptinitiatedwindows
Permitir ventanas iniciadas por script sin restricciones de tamaño o posición,Deshabilitar,Sin enlace
Permitir scripting de controles WebBrowser de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowscriptingofinternetexplorerwebbrowsercontrols
Control de explorador web de Internet Explorer,Deshabilitar,Sin enlace
Permitir scriptlets,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowscriptlets
Scriptlets,Deshabilitar,Sin enlace
Permitir actualizaciones en la barra de estado mediante script,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowupdatestostatusbarviascript
Actualizaciones de la barra de estado mediante script,Deshabilitar,Sin enlace
Permitir que VBScript se ejecute en Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowvbscripttorunininternetexplorer
Permitir que VBScript se ejecute en Internet Explorer,Deshabilitar,Sin enlace
Solicitud automática de descargas de archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowautomaticpromptingforfiledownloads
Solicitud automática de descargas de archivos,Deshabilitar,Sin enlace
No ejecutar programas antimalware en controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonedonotrunantimalwareagainstactivexcontrols
No ejecutar programas antimalware en controles ActiveX,Deshabilitar,Sin enlace
Descarga de controles ActiveX firmados,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonedownloadsignedactivexcontrols
Descarga de controles ActiveX firmados,Deshabilitar,Sin enlace
Descarga de controles ActiveX sin firmar,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonedownloadunsignedactivexcontrols
Descarga de controles ActiveX sin firmar,Deshabilitar,Sin enlace
Habilitación del arrastre de contenido desde distintos dominios entre ventanas,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneenabledraggingofcontentfromdifferentdomainsacrosswindows
Habilitación del arrastre de contenido desde distintos dominios entre ventanas,Deshabilitar,Sin enlace
Habilitación del arrastre de contenido desde distintos dominios dentro de una ventana,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneenabledraggingofcontentfromdifferentdomainswithinwindows
Habilitación del arrastre de contenido desde distintos dominios dentro de una ventana,Deshabilitar,Sin enlace
Incluir ruta de acceso local cuando el usuario carga archivos en un servidor,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneincludelocalpathwhenuploadingfilestoserver
Incluir la ruta de acceso del directorio local al cargar archivos en un servidor,Deshabilitar,Sin enlace
Inicializar y crear scripts de controles ActiveX no marcados como seguros,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneinitializeandscriptactivexcontrols
Inicializar y crear scripts de controles ActiveX no marcados como seguros,Deshabilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonejavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Inicio de aplicaciones y archivos en un IFRAME,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonelaunchingapplicationsandfilesiniframe
Inicio de aplicaciones y archivos en un IFRAME,Deshabilitar,Sin enlace
Opciones de inicio de sesión,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonelogonoptions
Opciones de inicio de sesión,inicio de sesión anónimo,Sin enlace
Navegar por ventanas y marcos en distintos dominios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonenavigatewindowsandframes
Navegar por ventanas y marcos en distintos dominios,Deshabilitar,Sin enlace
Ejecución de componentes dependientes de .NET Framework no firmados con Authenticode,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallownetframeworkreliantcomponents
Ejecución de componentes dependientes de .NET Framework no firmados con Authenticode,Deshabilitar,Sin enlace
Ejecución de componentes dependientes de .NET Framework firmados con Authenticode,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonerunnetframeworkreliantcomponentssignedwithauthenticode
Ejecución de componentes dependientes de .NET Framework firmados con Authenticode,Deshabilitar,Sin enlace
Ejecución de controles y complementos ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonerunactivexcontrolsandplugins
Ejecución de controles y complementos ActiveX,Deshabilitar,Sin enlace
Scripts de controles ActiveX marcados como seguros para scripting,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonescriptactivexcontrolsmarkedsafeforscripting
Scripts de controles ActiveX marcados como seguros para scripting,Deshabilitar,Sin enlace
Scripting de applets de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszonescriptingofjavaapplets
Scripting de applets de Java,Deshabilitar,Sin enlace
Mostrar advertencia de seguridad para archivos potencialmente no seguros,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneshowsecuritywarningforpotentiallyunsafefiles
Inicio de programas y archivos no seguros,Deshabilitar,Sin enlace
Activar el filtro de scripting entre sitios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneenablecrosssitescriptingfilter
Activar el filtro de scripting entre sitios (XSS),habilitado,Sin enlace
Activar el modo protegido,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneturnonprotectedmode
Modo protegido,habilitado,Sin enlace
Activar el examen de filtro SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowsmartscreenie
Uso del filtro SmartScreen,habilitado,Sin enlace
Uso del bloqueador de elementos emergentes,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneusepopupblocker
Uso del bloqueador de elementos emergentes,habilitado,Sin enlace
Persistencia de userdata,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowuserdatapersistence
Persistencia de userdata,Deshabilitar,Sin enlace
Los sitios web de zonas de contenido web con menos privilegios pueden navegar a esta zona,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowlessprivilegedsites
Los sitios web de zonas de contenido web con menos privilegios pueden navegar a esta zona,Deshabilitar,Sin enlace
No ejecutar programas antimalware en controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#trustedsiteszonedonotrunantimalwareagainstactivexcontrols
No ejecutar programas antimalware en controles ActiveX,Deshabilitar,Sin enlace
Inicializar y crear scripts de controles ActiveX no marcados como seguros,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#trustedsiteszoneinitializeandscriptactivexcontrols
Inicializar y crear scripts de controles ActiveX no marcados como seguros,Deshabilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#trustedsiteszonejavapermissions
Permisos de Java,alta seguridad,Sin enlace
Evitar la omisión de advertencias de filtro SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disablebypassofsmartscreenwarnings
Evitar omitir las advertencias de filtro SmartScreen sobre los archivos que no se descargan habitualmente de Internet,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disablebypassofsmartscreenwarningsaboutuncommonfiles
Impedir la administración del filtro SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#preventmanagingsmartscreenfilter
Seleccionar modo de filtro smartscreen,Activado,Sin enlace
Impedir la instalación por usuario de controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#preventperuserinstallationofactivexcontrols
Zonas de seguridad: no permitir que los usuarios agreguen o eliminen sitios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#donotallowuserstoaddsites
Zonas de seguridad: no permitir que los usuarios cambien las directivas,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#donotallowuserstochangepolicies
Zonas de seguridad: usar solo la configuración del equipo,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#securityzonesuseonlymachinesettings
Especificar el uso del servicio de instalador activex para la instalación de controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#specifyuseofactivexinstallerservice
Desactivar la detección de bloqueos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disablecrashdetection
Desactivar la característica Comprobación de configuración de seguridad,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disablesecuritysettingscheck
Activar la característica de autocompletar para nombres de usuario y contraseñas en formularios (usuario),deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#allowautocomplete
"Quitar el botón ""Ejecutar este tiempo"" para controles ActiveX obsoletos en Internet Explorer",habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#removerunthistimebuttonforoutdatedactivexcontrols
Desactivar el bloqueo de controles ActiveX obsoletos para Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#donotblockoutdatedactivexcontrols
Permitir la reserva a SSL 3.0 (Internet Explorer),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#allowfallbacktossl3
Permitir reserva insegura para:,sin sitios,Sin enlace
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#consistentmimehandlinginternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#mimesniffingsafetyfeatureinternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#mkprotocolsecurityrestrictioninternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#notificationbarinternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#protectionfromzoneelevationinternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictactivexinstallinternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictfiledownloadinternetexplorerprocesses
Procesos de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#scriptedwindowsecurityrestrictionsinternetexplorerprocesses
"Configuración de la característica ""Bloquear a primera vista""",habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-microsoftdefenderantivirus?WT.mc_id=Portal-fx#disableblockatfirstseen
Activar el examen de procesos siempre que se habilite la protección en tiempo real,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-microsoftdefenderantivirus?WT.mc_id=Portal-fx#realtimeprotection-disablescanonrealtimeenable
Examen de archivos ejecutables empaquetados,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-microsoftdefenderantivirus?WT.mc_id=Portal-fx#scan-disablepackedexescanning
Desactivar la corrección rutinaria,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-microsoftdefenderantivirus?WT.mc_id=Portal-fx#disableroutinelytakingaction
No permitir que se guarden contraseñas,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotedesktopservices?WT.mc_id=Portal-fx#donotallowpasswordsaving
No permitir redireccionamiento de unidades,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotedesktopservices?WT.mc_id=Portal-fx#donotallowdriveredirection
Preguntar siempre la contraseña tras la conexión,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotedesktopservices?WT.mc_id=Portal-fx#promptforpassworduponconnection
Requerir comunicación RPC segura,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotedesktopservices?WT.mc_id=Portal-fx#requiresecurerpccommunication
Establecer el nivel de cifrado de conexión de cliente,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotedesktopservices?WT.mc_id=Portal-fx#clientconnectionencryptionlevel
Nivel de cifrado,nivel alto,Sin enlace
Impedir la descarga de contenedores,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disableenclosuredownloading
Habilitación de notificaciones MPR para el sistema,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-windowslogon?WT.mc_id=Portal-fx#enablemprnotifications
Inicio de sesión y bloqueo automático del último usuario interactivo después de un reinicio,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-windowslogon?WT.mc_id=Portal-fx#allowautomaticrestartsignon
Activar el registro de bloques de scripts de PowerShell,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-windowspowershell?WT.mc_id=Portal-fx#turnonpowershellscriptblocklogging
Eventos de inicio o detención de invocación de bloques de script de registro:,False,Sin enlace
Permitir autenticación básica,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotemanagement?WT.mc_id=Portal-fx#allowbasicauthentication-service
Permitir tráfico sin cifrar,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotemanagement?WT.mc_id=Portal-fx#allowunencryptedtraffic-client
No permitir la autenticación implícita,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotemanagement?WT.mc_id=Portal-fx#disallowdigestauthentication
Permitir autenticación básica,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotemanagement?WT.mc_id=Portal-fx#allowbasicauthentication-service
Permitir tráfico sin cifrar,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotemanagement?WT.mc_id=Portal-fx#allowunencryptedtraffic-service
No permitir que WinRM almacene credenciales de ejecución,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remotemanagement?WT.mc_id=Portal-fx#disallowstoringofrunascredentials
Validación de credenciales de auditoría de inicio de sesión de cuenta,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountlogon_auditcredentialvalidation
Bloqueo de cuenta de auditoría de cierre de sesión de la cuenta,Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountlogonlogoff_auditaccountlockout
Pertenencia a grupos de auditoría de cierre de sesión de cuenta,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountlogonlogoff_auditgroupmembership
Inicio de sesión de cierre de sesión de la cuenta Inicio de sesión de auditoría,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountlogonlogoff_auditlogon
Auditar el cambio de directiva de autenticación,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#policychange_auditauthenticationpolicychange
Auditar cambios en la directiva de auditoría,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#policychange_auditpolicychange
Auditar el acceso a recursos compartidos de archivos,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#objectaccess_auditfileshare
Auditar otros eventos de cierre de sesión,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountlogonlogoff_auditotherlogonlogoffevents
Auditoría de la administración de grupos de seguridad,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountmanagement_auditsecuritygroupmanagement
Auditar la extensión del sistema de seguridad,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#system_auditsecuritysystemextension
Auditar inicio de sesión especial,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountlogonlogoff_auditspeciallogon
Auditoría de la administración de cuentas de usuario,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#accountmanagement_audituseraccountmanagement
Actividad de PNP de auditoría de seguimiento detallado,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#detailedtracking_auditpnpactivity
Creación detallada de procesos de auditoría de seguimiento,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#detailedtracking_auditprocesscreation
Recurso compartido de archivos detallado de auditoría de acceso a objetos,Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#objectaccess_auditdetailedfileshare
Auditoría de acceso a objetos Otros eventos de acceso a objetos,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#objectaccess_auditotherobjectaccessevents
Almacenamiento extraíble de auditoría de acceso a objetos,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#objectaccess_auditremovablestorage
Cambio de directiva Auditar el cambio de directiva de nivel de regla de MPSSVC,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#policychange_auditmpssvcrulelevelpolicychange
Auditoría de cambios de directiva Otros eventos de cambio de directiva,Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#policychange_auditotherpolicychangeevents
Uso de privilegios Auditar el uso de privilegios confidenciales,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#privilegeuse_auditsensitiveprivilegeuse
Auditoría del sistema Otros eventos del sistema,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#system_auditothersystemevents
Cambio de estado de seguridad de auditoría del sistema,Correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#system_auditsecuritystatechange
Integridad del sistema de auditoría del sistema,Correcto+ Error,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Audit?WT.mc_id=Portal-fx#system_auditsystemintegrity
Permitir administrador de contraseñas,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Browser?WT.mc_id=Portal-fx#allowpasswordmanager
Permitir pantalla inteligente,Permitir,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Browser?WT.mc_id=Portal-fx#allowsmartscreen
Evitar invalidaciones de errores de certificado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Browser?WT.mc_id=Portal-fx#preventcerterroroverrides
Impedir la invalidación del símbolo del sistema de pantalla inteligente,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Browser?WT.mc_id=Portal-fx#preventsmartscreenpromptoverride
Impedir la invalidación del símbolo del sistema de pantalla inteligente para los archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Browser?WT.mc_id=Portal-fx#preventsmartscreenpromptoverrideforfiles
Permitir acceso directo a memoria,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-dataprotection?WT.mc_id=Portal-fx#allowdirectmemoryaccess
Permitir el examen de archivos,permitido. Examina los archivos de archivo.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowarchivescanning
Permitir supervisión del comportamiento,permitido. Activa la supervisión del comportamiento en tiempo real.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowbehaviormonitoring
Permitir protección en la nube,permitido. Activa Cloud Protection.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowcloudprotection
Permitir examen completo de la unidad extraíble,permitido. Examina las unidades extraíbles.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowfullscanremovabledrivescanning
Permitir la protección de acceso,permitido.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowonaccessprotection
Permitir supervisión en tiempo real,permitido. Activa y ejecuta el servicio de supervisión en tiempo real.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowrealtimemonitoring
Permitir el examen de todos los archivos y datos adjuntos descargados,permitido.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowioavprotection
Permitir el examen de scripts,permitido.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#allowscriptscanning
Bloquear la ejecución de scripts potencialmente ofuscados,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Bloquear llamadas API de Win32 desde macros de Office,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Impedir que la aplicación de comunicación de Office cree procesos secundarios,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Impedir que todas las aplicaciones de Office creen procesos secundarios,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Impedir que JavaScript o VBScript inicien contenido ejecutable descargado,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Bloquear procesos que no son de confianza y no firmados que se ejecutan desde USB,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Impedir que Adobe Reader cree procesos secundarios,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Bloquear el robo de credenciales del subsistema de autoridad de seguridad local de Windows,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Impedir que las aplicaciones de Office creen contenido ejecutable,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Impedir que las aplicaciones de Office inserten código en otros procesos,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Bloquear el contenido ejecutable del cliente de correo electrónico y el correo web,Bloquear,https://learn.microsoft.com/es-es/windows/security/threat-protection/microsoft-defender-atp/attack-surface-reduction?WT.mc_id=Portal-fx
Nivel de bloque de nube,Alto,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#cloudblocklevel
Tiempo de espera extendido en la nube,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#cloudextendedtimeout
Deshabilitar combinación de Administración local,Deshabilitar combinación de Administración local,https://learn.microsoft.com/es-es/windows/client-management/mdm/Defender-csp/?WT.mc_id=Portal-fx#configurationdisablelocaladminmerge
Habilitación del cálculo de hash de archivos,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/Defender-csp/?WT.mc_id=Portal-fx#configurationenablefilehashcomputation
Habilitación de la protección de red,habilitado (modo de bloque),https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#enablenetworkprotection
